cod_amm	cod_prt_dom	progr_pdd	stato_pdd	ver_pdd
p_sv	ProvinciaSavona	1	-	1.1
p_TN	ProvinciaAutonomadiTrento	1	Si	1.1
regcal	RegioneCalabria	1	Si	1.1
r_abruzz	RegioneAbruzzo	1	Si	1.1
r_basili	RegioneBasilicata	1	Si	1.1
r_basili	RegioneBasilicataNICA	2	Si	1.1
r_campan	RegioneCampania	1	Si	1.1
r_emiro	RegioneEmiliaRomagna	1	Si	1.1
r_emiro	RegioneEmiliaRomagnaNICA	2	Si	1.1
r_friuve	RegioneAutonomaFriuliVeneziaGiulia	1	Si	1.1
r_lazio	RegioneLazio	1	Si	1.1
r_liguri	RegioneLiguria	1	Si	1.1
r_liguri	RegioneLiguriaNICA	2	Si	1.1
r_lombar	RegioneLombardia	1	Si	1.1
r_lombar	RegioneLombardiaNICA	2	Si	1.1
r_marche	RegioneMarcheNICA	1	Si	1.1
r_piemon	RegionePiemonte	1	Si	1.1
r_piemon	NICAPiemonte	2	Si	1.1
r_puglia	RegionePuglia	1	Si	1.1
r_sardeg	RegioneAutonomaSardegna	1	Si	1.1
r_sicili	RegioneSicilianaNICA	1	Si	1.1
r_sicili	RegioneSiciliana	2	Si	1.1
r_sicili	EntiLocaliRegioneSiciliana	3	Si	1.1
r_toscan	RegioneToscana	1	Si	1.1
r_umbria	RegioneUmbria	1	Si	1.1
r_umbria	CentroServiziRegioneUmbria	2	Si	1.1
r_vda	RegioneAutonomaValledAosta	1	Si	1.1
r_vda	CentroServiziVDA	2	Si	1.1
r_veneto	RegioneVeneto	1	Si	1.1
sogei	Sogei	1	Si	1.1
UICCIAA	UICCIAAPortaleImprese	1	Si	1.1
UICCIAA	UICCIAARegistroImprese	2	Si	1.1
uni_bo	MiurANS	1	Si	1.1
uni_pi	UniversitaDiPisa	1	Si	1.1
